"Robert","De Niro",1943-08-17
"Jeff","Bridges",1949-12-04
"Meryl","Streep",1949-06-22
"Samuel L.","Jackson",1948-12-21
"Tommy","Lee Jones",1946-09-15
"Harrison","Ford",1942-07-13
"Sigourney","Weaver",1949-10-08
"Helen","Mirren",1945-07-26
"Bill","Murray",1950-09-21
"Michael","Douglas",1944-09-25
"Alan","Rickman",1946-02-21
"Christopher","Walken",1943-03-31
"Susan","Sarandon",1946-10-04
"Bill","Nighy",1949-12-12
"Ben","Kingsley",1943-12-31
"Malcolm","McDowell",1943-06-13
"Danny","DeVito",1944-11-17
"Diane","Keaton",1946-01-05
"Steve","Martin",1945-08-14
"Goldie","Hawn",1945-11-21
"Edward James","Olmos",1947-02-24
"Glenn","Close",1947-03-19
"Tom","Waits",1949-12-07
"Billy","Crystal",1948-03-14
"Gérard","Depardieu",1948-12-27
"Catherine","Deneuve",1943-10-22
"Julie","Walters",1950-02-22
"John","Noble",1948-08-20
"Swoosie","Kurtz",1944-09-06
"Michael","York",1942-03-27
"Richard","Hatch",1945-05-21
"Ed","Harris",1950-11-28
